Time,id,Treatment,Diet,combo,Shannon,Faith,Evenness,OTUs,Combo_ratio,Ratio,Ratio_Treatment,Ratio_Diet,Ratio_time,Ratio_ID
65,29,ATCC,CD,ATCC/CD,5.130057212,45.45901136,0.69158253,159,WD.ATCC,4.202883491,ATCC,WD,65,42
65,15,ATCC,CD,ATCC/CD,5.584817153,43.38384448,0.763695684,144,WD.ATCC,3.461718293,ATCC,WD,65,43
65,31,ATCC,CD,ATCC/CD,4.318398811,38.51415601,0.62097741,171,WD.ATCC,4.570564186,ATCC,WD,65,44
65,16,ATCC,CD,ATCC/CD,5.609638747,43.03725618,0.782384578,124,WD.ATCC,4.226007263,ATCC,WD,65,9
65,46,ATCC,CD,ATCC/CD,4.92372639,42.52036623,0.674980449,130,WD.BBS,4.630285278,BBS,WD,65,1
65,48,ATCC,CD,ATCC/CD,3.661211207,35.0528826,0.54529004,145,WD.BBS,4.166666667,BBS,WD,65,17
65,13,ATCC,CD,ATCC/CD,5.675526033,43.39462021,0.777066868,157,WD.BBS,2.208513073,BBS,WD,65,18
65,32,ATCC,CD,ATCC/CD,4.631946355,37.2788207,0.659598939,171,WD.BBS,4.846511628,BBS,WD,65,19
65,45,ATCC,CD,ATCC/CD,4.788787771,41.55089149,0.66697053,105,WD.BBS,4.33202934,BBS,WD,65,2
,,,,,,,,,WD.BBS,3.309390721,BBS,WD,65,20
,,,,,,,,,WD.BBS,4.295645984,BBS,WD,65,3
,,,,,,,,,WD.BBS,3.934901023,BBS,WD,65,33
,,,,,,,,,WD.BBS,3.051105442,BBS,WD,65,34
,,,,,,,,,WD.BBS,5.898170791,BBS,WD,65,35
,,,,,,,,,WD.BBS,1.66498202,BBS,WD,65,36
,,,,,,,,,WD.BBS,5.025869565,BBS,WD,65,4
