Mouse_Food,Time,Diet,Treatment,calories,Water_weight,Ratio_cal_weight,Ratio_wat_bodyweight
36,eight,WD,BBS,94.5,17,2.554054054,0.459459459
5,eight,CD,BBS,90,22,3,0.733333333
6,eight,CD,BBS,102,26,3.4,0.866666667
7,eight,CD,BBS,123,25,4.1,0.833333333
8,eight,CD,BBS,87,23,2.806451613,0.741935484
21,eight,CD,BBS,90,23,3.214285714,0.821428571
22,eight,CD,BBS,105,27,3.5,0.9
23,eight,CD,BBS,99,25,3.09375,0.78125
24,eight,CD,BBS,120,25,3.75,0.78125
37,eight,CD,BBS,81,25,3.115384615,0.961538462
38,eight,CD,BBS,93,24,2.90625,0.75
39,eight,CD,BBS,90,23,3.103448276,0.793103448
40,eight,CD,BBS,75,20,2.884615385,0.769230769
9,eight,WD,ATCC,85.5,20,2.948275862,0.689655172
10,eight,WD,ATCC,99,19,2.75,0.527777778
11,eight,WD,ATCC,94.5,21,3.25862069,0.724137931
12,eight,WD,ATCC,117,22,2.785714286,0.523809524
25,eight,WD,ATCC,76.5,18,2.467741935,0.580645161
26,eight,WD,ATCC,94.5,17,3.25862069,0.586206897
27,eight,WD,ATCC,76.5,17,3.326086957,0.739130435
28,eight,WD,ATCC,76.5,14,2.637931034,0.482758621
41,eight,WD,ATCC,72,17,2.88,0.68
42,eight,WD,ATCC,81,18,3.24,0.72
43,eight,WD,ATCC,108,20,3.272727273,0.606060606
44,eight,WD,ATCC,99,18,3.09375,0.5625
13,eight,CD,ATCC,102,26,3.642857143,0.928571429
14,eight,CD,ATCC,,,,
15,eight,CD,ATCC,81,23,2.7,0.766666667
16,eight,CD,ATCC,96,28,3.2,0.933333333
29,eight,CD,ATCC,93,25,3.576923077,0.961538462
30,eight,CD,ATCC,,,,
31,eight,CD,ATCC,96,22,3.096774194,0.709677419
32,eight,CD,ATCC,93,24,3.576923077,0.923076923
45,eight,CD,ATCC,141,22,5.035714286,0.785714286
46,eight,CD,ATCC,216,25,6.75,0.78125
47,eight,CD,ATCC,84,22,3,0.785714286
48,eight,CD,ATCC,105,25,3.181818182,0.757575758
1,nine,WD,BBS,103.5,16,2.653846154,0.41025641
2,nine,WD,BBS,103.5,16,3.044117647,0.470588235
3,nine,WD,BBS,90,19,3.103448276,0.655172414
4,nine,WD,BBS,94.5,14,3.048387097,0.451612903
