"SampleID","Plate","Timepoint","Cohort","Mouse","Treatment","Diet","Weight_group","Shannon","Faith","Evenness"
"4-1-2","3","2","1","4","BBS","WD","Medium",4.38026885026075,30.8858396351082,0.660738153230947
"4-1-3","3","3","1","4","BBS","WD","Medium",4.52242228486224,31.3226812425388,0.700126969656861
"4-1-4","3","4","1","4","BBS","WD","Medium",4.41096154359413,28.7474798945534,0.666841274605318
"18-2-1","3","1","2","18","BBS","WD","High",3.82240607317172,33.0328876189469,0.577864511558634
"18-2-2","3","2","2","18","BBS","WD","High",4.97752408043173,37.7859881289139,0.702299848608959
"18-2-3","3","3","2","18","BBS","WD","High",4.99064190233432,32.5265544564247,0.731746473199145
"18-2-4","3","4","2","18","BBS","WD","High",4.61593029879473,35.6905418475862,0.661565875155444
"43-3-1","3","1","3","43","ATCC","WD","Medium",3.76001303623773,35.2756888267097,0.564718174839911
"43-3-2","3","2","3","43","ATCC","WD","Medium",5.20280532530338,36.9549953987349,0.726661846362787
"43-3-3","3","3","3","43","ATCC","WD","Medium",4.9081445213108,33.8775451524945,0.711859934490278
"43-3-4","3","4","3","43","ATCC","WD","Medium",4.90928051166462,32.9992350618547,0.721172991253514
"35-3-1","3","1","3","35","BBS","WD","High",4.08661235697561,34.6929254951507,0.602624330460648
"35-3-2","3","2","3","35","BBS","WD","High",4.89622783783853,30.7895791007188,0.732255657190703
"35-3-3","3","3","3","35","BBS","WD","High",4.65905640069024,28.9600181062147,0.723125447816224
"35-3-4","3","4","3","35","BBS","WD","High",4.83399058463563,31.4045920693865,0.727588082366294
